,arrival_lambda,bus_seats,bus_stops,waiting_time_mean,waiting_time_std,time_in_system_mean,time_in_system_std,customers_upon_arrival_mean,customers_upon_arrival_std
0,5,10,5,73.96297645434173,4.476457240825488,77.46297645434176,4.492341116944019,220.714732,12.124710798702624
1,5,10,10,197.9087588348082,4.961981663884915,203.9087588348082,4.9916294210949905,339.24085199999996,7.001787091742794
2,5,10,20,445.3436689801811,5.593081611406118,456.3436689801811,5.638329993592532,414.259072,3.6932818022479665
3,5,50,5,0.0,0.0,3.5,0.03400664640919478,17.327498,0.5865999812444593
4,5,50,10,8.806264125408917e-05,0.0007819087302891984,6.000088062641255,0.05142725227289968,29.50175,0.9871453568244143
5,5,50,20,9.872420647246937,3.358129864783361,20.872420647246933,3.3763340897954355,92.95624600000001,15.257846519790531
6,5,100,5,0.0,0.0,3.5,0.033463592156252435,17.296832,0.562428644163862
7,5,100,10,0.0,0.0,6.0,0.047453092628405164,29.511021999999997,0.951615919116531
8,5,100,20,0.0,0.0,11.0,0.06737406029029264,53.448172,1.7788260169044077
9,20,10,5,148.3114804788736,2.297245140245252,151.8114804788736,2.3255949210351954,433.096118,3.6915467690489856
10,20,10,10,272.02710973258655,2.813627189115263,278.02710973258655,2.8511565590780292,462.710184,2.057943313637186
11,20,10,20,519.557205541476,4.372438039811306,530.5572055414759,4.433939142977354,481.57921799999997,1.1903558335539832
12,20,50,5,9.362057736661738,0.9351344330375017,12.862057736661738,0.9483489556832381,181.88213799999997,13.050490037809157
13,20,50,10,33.05200651279805,1.0341972715809684,39.05200651279805,1.0613595327416447,323.481532,7.715946012056849
14,20,50,20,80.57011243210322,1.1544385558876435,91.57011243210323,1.191951036240088,413.960124,4.53979028289017
15,20,100,5,4.038695443687815e-05,0.00034857466481821674,3.500040386954437,0.03505336964194642,67.276938,2.241290970435566
16,20,100,10,4.366826871489125,0.8462399151143583,10.366826871489124,0.8604270919459117,167.07218799999998,14.02196454754668
17,20,100,20,26.840912925485522,0.8617393398914556,37.84091292548552,0.893959842690613,338.04636999999997,7.373072783928014
18,50,10,5,163.17866800143761,1.947186817726092,166.67866800143761,1.976558624089083,475.500268,1.798220044426155
19,50,10,10,286.9336248144195,3.019284038380826,292.93362481441955,3.0655310747952758,487.398866,1.0799181098787076
20,50,10,20,534.4128569539644,3.9633648489719646,545.4128569539644,4.023451973227273,494.82217599999996,0.5495436152153882
21,50,50,5,23.5960523185899,0.5141003854835564,27.0960523185899,0.5366353330068457,384.94246000000004,5.749582664541837
22,50,50,10,47.317853015823545,0.6364949211067638,53.317853015823545,0.6735087782025742,441.686548,3.3692596117984133
23,50,50,20,94.81782187573681,0.8738352931537502,105.81782187573681,0.9312400244080691,477.298658,1.6619574077081514
24,50,100,5,6.605580876572687,0.379207118962676,10.105580876572686,0.39863101816851554,282.86522199999996,10.093686577297515
25,50,100,10,17.817547753611066,0.4241887596742233,23.817547753611066,0.4517729180941068,390.509292,6.062874062582531
26,50,100,20,40.34082650138009,0.5218328238643014,51.34082650138009,0.5685392248195535,458.04527399999995,3.196193326274867
