,arrival_lambda,bus_seats,bus_stops,waiting_time_mean,waiting_time_std,serving_time_mean,serving_time_std,customers_upon_arrival_mean,customers_upon_arrival_std
0,20,50,5,9.583273044614002,0.28384473997221954,3.5,0.0,185.2264,4.039023030387424
1,20,50,10,33.168051049405065,0.2692880773644764,6.0,0.0,324.75789999999995,2.3213455343830236
2,20,50,20,80.78052820827035,0.33177225865317433,11.0,0.0,414.62489999999997,1.5616586983076701
3,20,100,5,0.0,0.0,3.5,0.0,66.73209999999999,0.7756834985997847
4,20,100,10,4.337266564733582,0.25579177340081205,6.0,0.0,166.99450000000002,4.233780255280144
5,20,100,20,26.8951563178164,0.27386361796461384,11.0,0.0,338.52149999999995,2.5585557351756245
6,50,50,5,23.695795104981556,0.09570244064822238,3.5,0.0,386.2993,1.364041278700908
7,50,50,10,47.552411308478085,0.12277187532520653,6.0,0.0,443.7479,1.1323609362743026
8,50,50,20,94.99029900518943,0.10193322502472706,11.0,0.0,478.1186000000001,0.39683805261088867
9,50,100,5,6.791030626969324,0.15472770494320606,3.5,0.0,288.2395,4.5165161850700875
10,50,100,10,17.985312330352542,0.14221923498210814,6.0,0.0,394.2612,2.703226805134931
11,50,100,20,40.55869150862989,0.1292540678031108,11.0,0.0,459.9216,0.7879516736450264
